STU_ID,SCH_ID,F3ERN2011,F3C02,F3EVRGED,F3EVERDO,BYMOTHED,BYS14,BYRACE,BYP61,F3ATTAINMENT,BYTXCSTD,BYSES1,F3JUNEDSTAT,F3REGION,F3B35
101101,1011,4000,-7,0,0,1,2,5,1,3,56.21,-0.25,3,1,-7
101102,1011,3000,20,0,0,5,2,2,0,10,57.66,0.58,3,1,-3
101104,1011,37000,50,0,0,2,2,7,0,6,66.5,-0.85,3,1,0
101105,1011,1500,25,0,0,2,2,3,-4,4,46.46,-0.8,2,1,1
101106,1011,48000,28,0,0,1,2,4,0,4,36.17,-1.41,1,1,1
101107,1011,35000,40,0,0,2,1,4,0,3,30.72,-1.07,3,1,1
101108,1011,17000,40,0,0,6,1,4,-7,4,45.46,0.27,3,1,0
101109,1011,68000,40,0,0,2,1,7,0,6,68.39,-0.16,3,1,1
101110,1011,-4,-4,0,0,2,1,4,0,-4,42.07,-1,-4,-4,-4
101111,1011,42000,40,0,0,1,1,3,-7,3,43.17,-1.22,1,1,1
101112,1011,18000,1,0,0,6,1,3,0,3,58.06,-0.18,3,1,0
101113,1011,0,-7,0,0,4,2,4,1,3,45.19,-0.03,2,1,-7
101114,1011,20000,-7,0,0,3,2,3,0,5,40.36,-0.8,3,3,-7
101115,1011,12000,28,0,0,2,1,2,0,5,53.03,-0.16,1,4,0
101116,1011,40000,50,0,0,7,1,2,-4,6,70.04,0.99,1,1,1
101117,1011,-4,-4,0,0,2,1,3,1,-4,31.93,0.22,-4,-4,-4
101118,1011,5500,45,0,0,2,2,3,0,3,33.08,0.06,1,1,1
101119,1011,-4,-4,0,0,1,2,4,-4,-4,57.17,-1.35,-4,-4,-4
101120,1011,1000,40,1,1,2,1,7,0,2,43.8,-0.57,4,1,0
101121,1011,50000,40,0,0,6,2,2,0,8,57.69,1.18,3,1,0
101122,1011,34000,35,0,0,3,1,4,0,5,45.95,-0.63,3,1,0
101123,1011,0,-7,0,0,1,1,4,0,3,46.84,-0.69,2,1,-7
101124,1011,-4,-4,0,0,2,1,5,0,-4,39.17,-0.69,-4,-4,-4
101125,1011,-4,-4,0,0,2,2,5,0,-4,40.7,-1.22,-4,-4,-4
101126,1011,7000,8,0,0,1,2,2,0,6,51.96,-0.64,3,1,0
101127,1011,65000,38,0,0,3,2,2,0,6,57.72,-0.12,3,1,1
101128,1011,-4,-4,0,0,1,1,2,0,-4,43.62,-1,-4,-4,-4
101129,1011,12000,16,0,0,4,1,7,0,8,71.11,0.26,1,1,0
101131,1011,9000,40,0,0,3,1,7,0,6,54.72,0.48,3,1,1
101132,1011,-4,-4,0,0,2,1,4,1,-4,42.19,-0.16,-4,-4,-4
101133,1011,-4,-4,0,0,2,1,4,0,-4,41.66,-1.16,-4,-4,-4
101201,1012,18000,40,0,0,4,1,7,0,3,50.57,-0.24,1,1,0
101203,1012,-8,-8,0,0,6,1,7,1,-8,56.21,0.05,-8,-8,-8
101207,1012,10000,32,0,0,2,1,7,0,4,51.31,-0.34,3,1,0
101209,1012,-8,-8,0,0,2,1,3,1,-8,44.29,-0.77,-8,-8,-8
101210,1012,45000,45,0,0,4,-9,7,1,8,66.52,0.37,3,1,0
101211,1012,14000,40,0,0,2,2,7,0,6,58.65,0.19,3,4,1
101212,1012,0,-3,0,0,2,1,6,1,2,50.11,0.09,4,1,-3
101214,1012,0,55,0,0,4,2,3,0,3,45.82,-0.48,3,1,0
101215,1012,-4,-4,0,0,2,1,3,1,-4,51.43,-0.43,-4,-4,-4
101217,1012,-4,-4,1,0,2,2,7,1,-4,36.06,-0.64,-4,-4,-4
101219,1012,26000,-7,0,0,4,2,7,0,4,35.89,0.05,-9,1,-7
101221,1012,29000,38,0,0,2,2,7,1,2,58.41,-0.93,4,1,0
101222,1012,0,-3,0,0,-4,-4,-4,-4,5,38.25,-4,3,1,-3
101223,1012,40000,75,0,0,2,2,3,1,3,48.48,-0.44,3,1,1
101226,1012,-4,-4,0,0,6,1,7,0,-4,56.59,1.13,-4,-4,-4
101227,1012,24000,20,1,1,2,1,7,-3,8,43.25,-0.58,3,1,1
102101,1021,32000,40,0,0,2,1,3,-4,3,48.25,-0.57,3,1,1
102103,1021,18000,-7,0,0,1,2,3,1,4,36.16,-0.12,2,1,-7
102104,1021,0,-3,0,0,3,1,3,1,3,51.13,0.21,1,1,-3
102105,1021,0,-7,0,0,2,1,3,0,2,33.17,-1.04,4,1,-7
102106,1021,25000,35,0,0,6,2,4,0,4,32.83,-0.24,3,1,0
102107,1021,0,-3,0,1,1,1,3,1,1,36.81,-1.52,4,1,-3
102108,1021,2500,90,0,0,2,1,5,1,3,40.78,-0.94,3,1,0
