,STU_ID,SCH_ID,F3ERN2011,F3C02,F3EVRGED,F3EVERDO,BYMOTHED,BYS14,BYRACE,BYP61,F3ATTAINMENT,BYTXCSTD,BYSES1,F3JUNEDSTAT,F3REGION,F3B35,female,no_parent,moth_ed_1,moth_ed_2,moth_ed_3,moth_ed_4,moth_ed_5,moth_ed_6,moth_ed_7,moth_ed_8,region_1,region_2,region_3,region_4,high_school_grad,ged,BYRACE2,Other,Asian,Black,Hispanic,White,post_sec_edu,income_log
2,101104,1011,37000,50,0,0,2,2,7,0,6,66.5,-0.85,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.51867319
5,101107,1011,35000,40,0,0,2,1,4,0,3,30.72,-1.07,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,1,0,0,10.46310334
7,101109,1011,68000,40,0,0,2,1,7,0,6,68.39,-0.16,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,11.12726298
10,101112,1011,18000,1,0,0,6,1,3,0,3,58.06,-0.18,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,0,0,1,0,0,0,9.798127037
18,101120,1011,1000,40,1,1,2,1,7,0,2,43.8,-0.57,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,7,0,0,0,0,1,0,6.907755279
19,101121,1011,50000,40,0,0,6,2,2,0,8,57.69,1.18,3,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,1,0,0,0,6,10.81977828
20,101122,1011,34000,35,0,0,3,1,4,0,5,45.95,-0.63,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,1,0,2,10.4341158
24,101126,1011,7000,8,0,0,1,2,2,0,6,51.96,-0.64,3,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,4,8.853665428
25,101127,1011,65000,38,0,0,3,2,2,0,6,57.72,-0.12,3,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,4,11.08214255
28,101131,1011,9000,40,0,0,3,1,7,0,6,54.72,0.48,3,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,9.104979856
33,101207,1012,10000,32,0,0,2,1,7,0,4,51.31,-0.34,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,1,9.210340372
36,101211,1012,14000,40,0,0,2,2,7,0,6,58.65,0.19,3,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,7,0,0,0,0,1,4,9.546812609
42,101221,1012,29000,38,0,0,2,2,7,1,2,58.41,-0.93,4,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,10.27505111
