STU_ID,SCH_ID,F3ERN2011,F3C02,BYTXCSTD,BYSES1,female,no_parent,moth_ed_1,moth_ed_2,moth_ed_3,moth_ed_4,moth_ed_5,moth_ed_6,moth_ed_7,moth_ed_8,region_1,region_2,region_3,region_4,high_school_grad,ged,Other,Asian,Black,Hispanic,White,post_sec_edu,income_log
101104,1011,37000,50,66.5,-0.85,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,10.51867319
101107,1011,35000,40,30.72,-1.07,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,10.46310334
101109,1011,68000,40,68.39,-0.16,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,11.12726298
101112,1011,18000,1,58.06,-0.18,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,9.798127037
101120,1011,1000,40,43.8,-0.57,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6.907755279
101121,1011,50000,40,57.69,1.18,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,6,10.81977828
101122,1011,34000,35,45.95,-0.63,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,10.4341158
101126,1011,7000,8,51.96,-0.64,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,4,8.853665428
101127,1011,65000,38,57.72,-0.12,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,4,11.08214255
101131,1011,9000,40,54.72,0.48,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,9.104979856
101207,1012,10000,32,51.31,-0.34,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,9.210340372
101211,1012,14000,40,58.65,0.19,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,9.546812609
101221,1012,29000,38,58.41,-0.93,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,10.27505111
101223,1012,40000,75,48.48,-0.44,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,10.59663473
102106,1021,25000,35,32.83,-0.24,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,10.1266311
102108,1021,2500,90,40.78,-0.94,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,7.824046011
102111,1021,8000,40,40.54,-1.45,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8.987196821
102118,1021,54000,70,37.51,-0.3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,10.89673933
